"Product Name","Installed Base Track","IP Type","Product: Created Date","Product Family","Product Group","Product Family Group","Product Service Group","Sibex Name","AARO Code","Business Area","Business Responsible","Product Group Description","Item Group","Item Group Description","Active (Product)","Product Code","Movex Part Number","Oracle CPQ Cloud Part Number","Status","Movex Full Description","Product: Created By"
"MRT 24241,DMLC VI WORKSTATION","Yes","Part","3/17/2017","Linac","EOS2","Oncology","DMLC WORKSTATION","DMLC VI WORKSTATION","EOS5","200","DIV200","EOS Service And Spares Parts","342","3D-Line Products","1","1531234","1531234","MRT 24241","Released","MRT 24241, DMLC VI WORKSTATION HP Z240 (81-60A-Z240)","Movex IntegrationUser"
"MRT 22011, AP25 MV PANEL","Yes","Part","3/31/2017","Linac","EOS2","Oncology","IVIEWGT MV PANEL","IVIEWGT AP PANEL (MV)","EOS5","200","DIV200","EOS Service And Spares Parts","335","iViewGT","1","R1505978","R1505978","R1505978","Released","MRT 22011, XRD 1642 AP25 MV PANEL","Movex IntegrationUser"
"XRD 1642 AP3 KV PANEL","Yes","Part","3/31/2017","Linac","EOS2","Oncology","XVI KV PANEL","XVI KV AP PANEL","SYNE","200","DIV200","EOS Service And Spares Parts","335","iViewGT","1","R1027687","R1027687","R1027687","Released","XRD 1642 AP3 KV PANEL","Movex IntegrationUser"
"IVIEWGT MK6 R3.4.1 IMAGING C/S","Yes","Part","4/14/2017","Linac","EOS2","Oncology","IVIEWGT CONTROL SYSTEM","IVIEWGT CONTROL SYSTEM MK 6","EOS5","200","DIV200","EOS Service And Spares Parts","335","iViewGT","1","1531595","1531595","1531595","Released","IVIEWGT MK6 R3.4.1 IMAGING CONTROL SYSTEM","Movex IntegrationUser"
"IVIEWGT MK6 R3.4.1 IMG C/S U/G","Yes","Part","4/14/2017","Linac","EOS2","Oncology","IVIEWGT CONTROL SYSTEM","IVIEWGT CONTROL SYSTEM MK 6","EOS5","200","DIV200","EOS Service And Spares Parts","335","iViewGT","1","1531623","1531623","1531623","Released","IVIEWGT MK6 R3.4.1 IMAGING CONTROL SYSTEM U/G","Movex IntegrationUser"
"XVI MK6 R5.0.4 IMAGING C/SYS","Yes","Part","4/14/2017","Linac","EOS2","Oncology","XVI CONTROL SYSTEM","XVI CONTROL SYSTEM MK 6","SYNE","200","DIV200","EOS Service And Spares Parts","355","Synergy XVI","1","1530518","1530518","1530518","Released","XVI MK6 R5.0.4 IMAGING CONTROL SYSTEM","Movex IntegrationUser"
"XVI MK6 R5.0.4 IMAGING C/S U/G","Yes","Part","4/14/2017","Linac","EOS2","Oncology","XVI CONTROL SYSTEM","XVI CONTROL SYSTEM MK 6","SYNE","200","DIV200","EOS Service And Spares Parts","355","Synergy XVI","1","1530519","1530519","1530519","Released","XVI MK6 R5.0.4 IMAGING CONTROL SYSTEM UPGRADE","Movex IntegrationUser"
"XVI MK6 R5.0.3 IMAGING C/SYS","Yes","Part","4/14/2017","Linac","EOS2","Oncology","XVI CONTROL SYSTEM","XVI CONTROL SYSTEM MK 6","SYNE","200","DIV200","EOS Service And Spares Parts","355","Synergy XVI","1","1530517","1530517","1530517","Released","XVI MK6 R5.0.3 IMAGING CONTROL SYSTEM","Movex IntegrationUser"
"BEAM SHAPING","Yes","Part","5/5/2017","MR Linac","ATSV","Unity","UNITY BEAM SHAPING MODULE","UNITY BEAM SHAPING MODULE","ATLA","200","DIV200","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1526833","1526833","1526833","Released","BEAM SHAPING","Movex IntegrationUser"
"FRU EIM CABINET","Yes","Part","5/12/2017","Linac","EOS2","Oncology","","","EOS5","200","DIV200","EOS Service And Spares Parts","354","New Patient Support System","1","1530380","1530380","1530380","Released","FRU EIM CABINET","Movex IntegrationUser"
"FRU, UPS OF EIM","Yes","Part","5/12/2017","Linac","EOS2","Oncology","PSS EIM","UPS OF EIM","EOS5","200","DIV200","EOS Service And Spares Parts","354","New Patient Support System","1","1529529","1529529","1529529","Released","FRU, UPS OF EIM","Movex IntegrationUser"
"MAGNETRON. E2V MG7395","Yes","Part","5/19/2017","MR Linac","ATSV","Unity","UNITY MAGNETRON","UNITY MAGNETRON","ATLA","200","DIV452","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1505137","1505137","1505137","Use then remove from assortment","MAGNETRON. E2V MG7395","Movex IntegrationUser"
